main_category,sub_category,raw_product_name,cleaned_product_name,product_url,brand,product_img_link
Eyes,Eyeshadow,The Look Of Love Beauty Set,The Look Of Love Beauty Set,https://www.sephora.sg/products/charlotte-tilbury-the-look-of-love-beauty-set/v/default,Charlotte Tilbury,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_5056446603829-Charlotte-Tilbury-The-Look-Of-Love-Beauty-Set-Default_7cd96c1109c305ab1bcd9f85cc87fca9181fa36f_1626252648.png
Eyes,Eyeshadow,Kajal InkArtist Liner,Kajal InkArtist Liner,https://www.sephora.sg/products/shiseido-kajal-inkartist/v/default,Shiseido,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_199404_20Shiseido_20Kajal_20InkArtist_2001_20Tea_20House_1323b7c7f101351d92487c69569ee238f5d8e127_1535014385.png
Eyes,Eyeshadow,Eye Color Quad (Limited Edition),Eye Color Quad (Limited Edition),https://www.sephora.sg/products/cle-de-peau-eye-color-quad-limited-edition/v/default,Cle De Peau,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_729238191273-CLE-DE-PEAU-BEAUTE-Eye-Color-Quad-Limited-Edition-322_2c901530e3aa9a3d2839b960cf6a6a162d12892a_1660835668.png
Eyes,Eyeshadow,M·A·C X Stranger Things Hawkins Class Of 1986 Eye Palette (Limited Edition),M·A·C X Stranger Things Hawkins Class Of 1986 Eye Palette (Limited Edition),https://www.sephora.sg/products/mac-cosmetics-m-star-a-star-c-x-stranger-things-hawkins-class-of-1986-eye-palette-limited-edition/v/default,MAC Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_773602656141-Mac-M-A-C-X-Stranger-Things-Hawkins-Class-Of-1986-Eye-Palette-Limit_191394a77f6177159be6e5c037471f18518586ee_1649051924.png
Eyes,Eyeshadow,Glazen™ Smooth Silk Shadow Mauves Eyeshadow Palette ,Glazen™ Smooth Silk Shadow Mauves Eyeshadow Palette ,https://www.sephora.sg/products/butter-london-glazen-smooth-silk-shadow-mauves-eyeshadow-palette/v/default,butter LONDON,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_811161030887-Butter-London-Glazen-Smooth-Silk-Shadow-Mauves-Eyeshadow-Palette-De_e9de7bccaf6ad9100a9c0d8f729112b74d403857_1617790957.png
Eyes,Eyeshadow,Feline Instinct Eyeshadow Palette,Feline Instinct Eyeshadow Palette,https://www.sephora.sg/products/sephora-collection-feline-instinct-eyeshadow-palette/v/default,Sephora Collection,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_180387_20Sephora_20Collection_20Feline_20Instinct_20Eyeshadow_20Palette_20Gold_20Edition_663d62a2292e941fc3bfe81784d5ab44a3319e20_1533888154.png
Eyes,Eyeshadow,Orgasm Rising Eyeshadow Palette (Limited Edition),Orgasm Rising Eyeshadow Palette (Limited Edition),https://www.sephora.sg/products/nars-orgasm-rising-eyeshadow-palette-limited-edition/v/default,NARS,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_194251135892-NARS-Orgasm-Rising-Eyeshadow-Palette-Limited-Edition-Default_6494b5167f5ca567d1af3b31ccf20483976214b6_1672934066.png
Eyes,Eyeshadow,Taj Mahal Quad Eyeshadow Palette Lunar New Year (Limited Edition),Taj Mahal Quad Eyeshadow Palette Lunar New Year (Limited Edition),https://www.sephora.sg/products/nars-taj-mahal-quad-eyeshadow-palette-lunar-new-year-limited-edition/v/default,NARS,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_194251077048-Nars-Taj-Mahal-Quad-Eyeshadow-Palette-Lunar-New-Year-Limited-Editio_9d7a59110244e4432c8504fb8ddd0272271b4a6c_1636967673.png
Eyes,Eyeshadow,Blitz Astral Eyeshadow Quad: Ritualistic Rose,Blitz Astral Eyeshadow Quad: Ritualistic Rose,https://www.sephora.sg/products/pat-mcgrath-labs-blitz-astral-eyeshadow-quad-ritualistic-rose/v/default,Pat McGrath Labs,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_843004105803-Pat-McGrath-Blitz-Astral-Quad-Ritualistic-Rose-Ritualistic-Rose_4d63fa4413988def83acd539412452d504b938c2_1569316568.png
Eyes,Eyeshadow,Planet Fanatic Fully Recyclable Wet/Dry Eyeshadow Palette,Planet Fanatic Fully Recyclable Wet/Dry Eyeshadow Palette,https://www.sephora.sg/products/kvd-beauty-planet-fanatic-fully-recyclable-wet-slash-dry-eyeshadow-palette/v/default,KVD Beauty,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_840026653923-Kvd-Vegan-Beauty-Planet-Fanatic-Fully-Recyclable-WetDry-Eyeshadow-P_f2d0756da84a05d237b9ac21734706f6e922989d_1622613872.png
Eyes,Eyeshadow,Sea Breezy Eyes Eyeshadow Palette,Sea Breezy Eyes Eyeshadow Palette,https://www.sephora.sg/products/tarte-sea-breezy-eyes-eyeshadow-palette/v/default,tarte,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_846733071210-Tarte-Sea-Breezy-Eyes-Eyeshadow-Palette-Default_29db9a9f7ec8bb28c838d85fad8ea59e3d366dd7_1623244998.png
Eyes,Eyeshadow,Lid Slick Eye Pigment Eyeshadow,Lid Slick Eye Pigment Eyeshadow,https://www.sephora.sg/products/inc-dot-redible-lid-slick-eye-pigment-eyeshadow/v/default,INC.redible,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_207232-Product-INCRedible-Lid-Slick-Eye-Pigment-Eyeshadow-Dose-Of-Ego_652766ab4f1ca642140ff1ab6f0ea50d9d02e284_1553573199.png
Eyes,Eyeshadow,Uninhibited Eyeshadow Palette (Holiday Limited Edition),Uninhibited Eyeshadow Palette (Holiday Limited Edition),https://www.sephora.sg/products/nars-uninhibited-eyeshadow-palette-holiday-limited-edition/v/default,NARS,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_194251134239-NARS-Uninhibited-Eyeshadow-Palette-Christmas-Limited-Edition-Defaul_e316fb9034b35aa42d105e4defd18826cf766fc8_1662955762.png
Eyes,Eyeshadow,#EYESTORIES Eyeshadow Palette,#EYESTORIES Eyeshadow Palette,https://www.sephora.sg/products/sephora-collection-number-eyestories-eyeshadow-palette/v/default,Sephora Collection,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_3378872144304-Sephora-Collection-EYESTORIES-Eyeshadow-Palette-Southwest-Sunrise_3c0a8426b9be506185869ff489e6982581240eca_1580440734.png
Eyes,Eyeshadow,Mini Caviar Stick Duet Sublime Shimmers Duo (Limited Edition),Mini Caviar Stick Duet Sublime Shimmers Duo (Limited Edition),https://www.sephora.sg/products/laura-mercier-mini-caviar-stick-duet-sublime-shimmers-duo-limited-edition/v/default,Laura Mercier,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_194250047158-LAURA-MERCIER-Mini-Caviar-Stick-Duet-Sublime-Shimmers-Duo-Limited-E_563af6dcf181b7d3052ff32a916b4c8458051c8d_1665056058.png
Eyes,Eyeshadow,Stargaze Eyeshadow Palette (Holiday Limited Edition),Stargaze Eyeshadow Palette (Holiday Limited Edition),https://www.sephora.sg/products/nars-stargaze-eyeshadow-palette-holiday-limited-edition/v/default,NARS,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_194251134321-NARS-Stargaze-Eyeshadow-Palette-Christmas-Limited-Edition-Default_0101dcd0e7850074f2172dda09af563a8b8ebddc_1662955767.png
Eyes,Eyeshadow,Struck By Luxe Collection​​ Luxe Eye Shadow Quad​ Palette (Lunar New Year Limited Edition),Struck By Luxe Collection​​ Luxe Eye Shadow Quad​ Palette (Lunar New Year Limited Edition),https://www.sephora.sg/products/bobbi-brown-struck-by-luxe-collection-luxe-eye-shadow-quad-palette-lunar-new-year-limited-edition/v/default,Bobbi Brown,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_716170300108-Bobbi-Brown-StruckByLuxe-Collection-Luxe-Eye-Shadow-Quad-Palette-Lu_8a8e8ce69dd217ef71e0efd1f65f6aa690a215bd_1670259807.png
